No.,KAB,POS,PCHMAR23,PCHAPR23,PCHMEI23
1,BANGKALAN,Arosbaya,177,138,89
2,BANGKALAN,Kedundung,158,151,55
3,BANGKALAN,Konang,180,141,45
4,BANGKALAN,Socah,175,179,154
5,BANGKALAN,Tanjung Bumi,174,82,79
6,BANGKALAN,Geger Campor,184,169,92
7,BANYUWANGI,Alas Buluh,232,106.625828009051,74.073126146198
8,BANYUWANGI,Bajulmati,155.727203907416,87.9738468666077,89.2172232236769
9,BANYUWANGI,Banyu Lor,403.333237736264,297,299.552658552115
10,BANYUWANGI,Besaran Selogiri,267,173.950281315017,120.171070523437
11,BANYUWANGI,Blambangan,217.890913145948,111,79.3791790356831
12,BANYUWANGI,Gentengan,268.076992891595,194.989354148707,207.6561266805
13,BANYUWANGI,Glen Nevis,252.397338178572,178,114
14,BANYUWANGI,Grajakan,192.827704204395,131.481533898158,89.9416024451415
15,BANYUWANGI,Kabat,180,120,119.972461626736
16,BANYUWANGI,Kaliklatak,189.392563376889,212,111
17,BANYUWANGI,Karangdoro,146.582348899201,204.294164188594,92.7074354519345
18,BANYUWANGI,Karangtambak,233.453755969518,185.252032386086,157.32568976205
19,BANYUWANGI,Licin,250,247.945245496333,148
20,BANYUWANGI,Pasewaran,298.851164234049,418.527235039267,85.0254095972301
21,BANYUWANGI,Pesanggaran1,189,140.191480059505,140.366831678962
22,BANYUWANGI,Rogojampi,200,132,85
23,BANYUWANGI,Sepanjang Karangharjo,312,206,151
24,BANYUWANGI,Stamet Banyuwangi,135,87,53.5619700195563
25,BANYUWANGI,Tegaldlimo,178.571261031801,111.872761723282,98.3426005049681
26,BANYUWANGI,Trebasala1,213.999901350648,173,117
27,BLITAR,Bantaran,508.754308045392,572.368250192406,228
28,BLITAR,Birowo,214.827632890337,176.625542803176,114
29,BLITAR,Kesamben,243,68.1994529392759,84
30,BLITAR,Lodoyo,273.106717962717,184.893408753829,119
31,BLITAR,Srengat,239.288890014678,77.3318193505909,105
32,BLITAR,Subdin Pengairan,258,199.067248466747,121
33,BLITAR,Wlingi,289,249.232445561439,149
34,BOJONEGORO,Baureno,292.232605510142,124.947829967363,166
35,BOJONEGORO,Bojonegoro,230,135.135177065113,100
